Class                                              AP
Knock                                              0.5829
Tap                                                0.4623
Squeak                                             0.4248
Cupboard open or close                             0.3785
Drawer open or close                               0.4619
Dishes, pots, and pans                             0.3540
Cutlery, silverware                                0.4476
Chopping (food)                                    0.6840
Frying (food)                                      0.8036
Microwave oven                                     0.3798
Blender                                            0.8319
Water tap, faucet                                  0.4541
Sink (filling or washing)                          0.5710
Bathtub (filling or washing)                       0.6715
Hair dryer                                         0.8785
Toilet flush                                       0.8658
Toothbrush                                         0.0202
Electric toothbrush                                0.3515
Vacuum cleaner                                     0.7474
Zipper (clothing)                                  0.6064
Keys jangling                                      0.3453
Coin (dropping)                                    0.5607
Scissors                                           0.4553
Electric shaver, electric razor                    0.5716
Shuffling cards                                    0.7646
Typing                                             0.5881
Typewriter                                         0.6151
Computer keyboard                                  0.6875
Writing                                            0.5504
Alarm                                              0.2890
Telephone                                          0.2618
Telephone bell ringing                             0.6851
Ringtone                                           0.5117
Telephone dialing, DTMF                            0.6441
Dial tone                                          0.6011
Busy signal                                        0.5874
Alarm clock                                        0.5091
Siren                                              0.9193
Civil defense siren                                0.9475
Buzzer                                             0.3142
Smoke detector, smoke alarm                        0.7437
Fire alarm                                         0.7304
Foghorn                                            0.4541
Whistle                                            0.4272
Steam whistle                                      0.6906
Mechanisms                                         0.3194
Ratchet, pawl                                      0.3276
Clock                                              0.4390
Tick                                               0.1743
Tick-tock                                          0.3649
Gears                                              0.3445
Pulleys                                            0.3277
Sewing machine                                     0.8594
Mechanical fan                                     0.3836
Air conditioning                                   0.2933
Cash register                                      0.7493
Printer                                            0.8165
Camera                                             0.4913
Single-lens reflex camera                          0.5303
Tools                                              0.4180
Hammer                                             0.5671
Jackhammer                                         0.5605
Sawing                                             0.5160
Filing (rasp)                                      0.6578
Sanding                                            0.8432
Power tool                                         0.3792
Drill                                              0.5292
Explosion                                          0.2462
Gunshot, gunfire                                   0.7385
Machine gun                                        0.7422
Fusillade                                          0.5559
Artillery fire                                     0.7427
Cap gun                                            0.8484
Fireworks                                          0.7223
Firecracker                                        0.5977
Burst, pop                                         0.0362
Eruption                                           0.4046
Boom                                               0.4162
Wood                                               0.4349
Chop                                               0.4586
Splinter                                           0.3845
Crack                                              0.1850
Glass                                              0.3298
Chink, clink                                       0.1926
Shatter                                            0.3507
Liquid                                             0.0944
Splash, splatter                                   0.4646
Slosh                                              0.3329
Squish                                             0.0894
Drip                                               0.2771
Pour                                               0.5251
Trickle, dribble                                   0.1451
Gush                                               0.3872
Fill (with liquid)                                 0.1682
Spray                                              0.5701
Pump (liquid)                                      0.3842
Stir                                               0.8051
Boiling                                            0.3328
Sonar                                              0.6426
Arrow                                              0.6925
Whoosh, swoosh, swish                              0.3888
Thump, thud                                        0.3161
Thunk                                              0.3524
Electronic tuner                                   0.6699
Effects unit                                       0.5856
Chorus effect                                      0.6143
Basketball bounce                                  0.6201
Bang                                               0.1012
Slap, smack                                        0.6188
Whack, thwack                                      0.2914
Smash, crash                                       0.4542
Breaking                                           0.3493
Bouncing                                           0.1724
Whip                                               0.7191
Flap                                               0.1081
Scratch                                            0.4254
Scrape                                             0.0365
Rub                                                0.7509
Roll                                               0.3283
Crushing                                           0.1665
Crumpling, crinkling                               0.4641
Tearing                                            0.3799
Beep, bleep                                        0.4147
Ping                                               0.3704
Ding                                               0.3582
Clang                                              0.3937
Squeal                                             0.1882
Creak                                              0.1387
Rustle                                             0.0989
Whir                                               0.1321
Clatter                                            0.1307
Sizzle                                             0.7673
Clicking                                           0.7598
Clickety-clack                                     0.5671
Rumble                                             0.3987
Plop                                               0.8833
Jingle, tinkle                                     0.3134
Hum                                                0.3198
Zing                                               0.3866
Boing                                              0.8706
Crunch                                             0.4520
Silence                                            0.1150
Sine wave                                          0.5974
Harmonic                                           0.0533
Chirp tone                                         0.2486
Sound effect                                       0.0658
Pulse                                              0.1083
Inside, small room                                 0.2106
Inside, large room or hall                         0.0792
Inside, public space                               0.1470
Outside, urban or manmade                          0.1222
Outside, rural or natural                          0.0602
Reverberation                                      0.2610
Echo                                               0.4274
Noise                                              0.0857
Environmental noise                                0.5862
Static                                             0.5541
Mains hum                                          0.5688
Distortion                                         0.5615
Sidetone                                           0.1336
Cacophony                                          0.1721
White noise                                        0.1374
Pink noise                                         0.4123
Throbbing                                          0.3426
Vibration                                          0.1755
Television                                         0.2712
Radio                                              0.4291
Field recording                                    0.2641
