Class                                              AP
Reversing beeps                                    0.5229
Ice cream truck, ice cream van                     0.7120
Bus                                                0.1335
Emergency vehicle                                  0.8809
Police car (siren)                                 0.6516
Ambulance (siren)                                  0.6616
Fire engine, fire truck (siren)                    0.8070
Motorcycle                                         0.2028
Traffic noise, roadway noise                       0.1231
Rail transport                                     0.7625
Train                                              0.7476
Train whistle                                      0.5988
Train horn                                         0.6024
Railroad car, train wagon                          0.7616
Train wheels squealing                             0.8204
Subway, metro, underground                         0.5472
Aircraft                                           0.5196
Aircraft engine                                    0.5411
Jet engine                                         0.4994
Propeller, airscrew                                0.2425
Helicopter                                         0.4820
Fixed-wing aircraft, airplane                      0.5205
Bicycle                                            0.0601
Skateboard                                         0.6040
Engine                                             0.3176
Light engine (high frequency)                      0.3638
Dental drill, dentist's drill                      0.2884
Lawn mower                                         0.4005
Chainsaw                                           0.5984
Medium engine (mid frequency)                      0.1065
Heavy engine (low frequency)                       0.0772
Engine knocking                                    0.1788
Engine starting                                    0.3450
Idling                                             0.2726
Accelerating, revving, vroom                       0.2495
Door                                               0.1157
Doorbell                                           0.4482
Ding-dong                                          0.1656
Sliding door                                       0.1289
Slam                                               0.1512
Knock                                              0.4996
Tap                                                0.3377
Squeak                                             0.3218
Cupboard open or close                             0.3675
Drawer open or close                               0.3615
Dishes, pots, and pans                             0.2510
Cutlery, silverware                                0.3577
Chopping (food)                                    0.5827
Frying (food)                                      0.6924
Microwave oven                                     0.2852
Blender                                            0.6201
Water tap, faucet                                  0.3972
Sink (filling or washing)                          0.4520
Bathtub (filling or washing)                       0.5624
Hair dryer                                         0.7616
Toilet flush                                       0.7138
Toothbrush                                         0.2731
Electric toothbrush                                0.3025
Vacuum cleaner                                     0.5363
Zipper (clothing)                                  0.2617
Keys jangling                                      0.2073
Coin (dropping)                                    0.2835
Scissors                                           0.2806
Electric shaver, electric razor                    0.5930
Shuffling cards                                    0.5407
Typing                                             0.4886
Typewriter                                         0.4742
Computer keyboard                                  0.5130
Writing                                            0.4494
Alarm                                              0.2098
Telephone                                          0.1491
Telephone bell ringing                             0.6113
Ringtone                                           0.3273
Telephone dialing, DTMF                            0.4362
Dial tone                                          0.5557
Busy signal                                        0.5606
Alarm clock                                        0.2571
Siren                                              0.8914
Civil defense siren                                0.9057
Buzzer                                             0.1355
Smoke detector, smoke alarm                        0.7296
Fire alarm                                         0.7048
Foghorn                                            0.3454
Whistle                                            0.3737
Steam whistle                                      0.6351
Mechanisms                                         0.2429
Ratchet, pawl                                      0.1711
Clock                                              0.3610
Tick                                               0.1686
Tick-tock                                          0.3415
Gears                                              0.2114
Pulleys                                            0.2282
Sewing machine                                     0.6423
Mechanical fan                                     0.1957
Air conditioning                                   0.2417
Cash register                                      0.5676
Printer                                            0.6591
Camera                                             0.3384
Single-lens reflex camera                          0.4722
Tools                                              0.2888
Hammer                                             0.4440
Jackhammer                                         0.5048
Sawing                                             0.2925
Filing (rasp)                                      0.4815
Sanding                                            0.7769
Power tool                                         0.3111
Drill                                              0.4284
Explosion                                          0.1847
Gunshot, gunfire                                   0.6373
Machine gun                                        0.6829
Fusillade                                          0.4453
Artillery fire                                     0.5780
Cap gun                                            0.7123
Fireworks                                          0.6999
Firecracker                                        0.5069
Burst, pop                                         0.0254
Eruption                                           0.2197
Boom                                               0.3242
Wood                                               0.3983
Chop                                               0.3262
Splinter                                           0.4235
Crack                                              0.0939
Glass                                              0.1970
Chink, clink                                       0.1286
Shatter                                            0.2267
Liquid                                             0.0658
Splash, splatter                                   0.4602
Slosh                                              0.2386
Squish                                             0.0367
Drip                                               0.1743
Pour                                               0.3832
Trickle, dribble                                   0.0601
Gush                                               0.2419
Fill (with liquid)                                 0.1188
Spray                                              0.2715
Pump (liquid)                                      0.2331
Stir                                               0.7761
Boiling                                            0.1619
Sonar                                              0.5751
Arrow                                              0.4996
Whoosh, swoosh, swish                              0.2740
Thump, thud                                        0.2298
Thunk                                              0.1877
Electronic tuner                                   0.5860
Effects unit                                       0.5455
Chorus effect                                      0.3909
Basketball bounce                                  0.5209
Bang                                               0.1048
Slap, smack                                        0.5143
Whack, thwack                                      0.2053
Smash, crash                                       0.4169
Breaking                                           0.3415
