Class                                              AP
Bicycle                                            0.3947
Skateboard                                         0.8000
Engine                                             0.4022
Light engine (high frequency)                      0.5039
Dental drill, dentist's drill                      0.3736
Lawn mower                                         0.5950
Chainsaw                                           0.6552
Medium engine (mid frequency)                      0.1136
Heavy engine (low frequency)                       0.1080
Engine knocking                                    0.2703
Engine starting                                    0.4772
Idling                                             0.2194
Accelerating, revving, vroom                       0.2961
Door                                               0.2117
Doorbell                                           0.5617
Ding-dong                                          0.2486
Sliding door                                       0.3101
Slam                                               0.2434
Knock                                              0.6389
Tap                                                0.5127
Squeak                                             0.4666
Cupboard open or close                             0.3125
Drawer open or close                               0.4435
Dishes, pots, and pans                             0.3417
Cutlery, silverware                                0.4425
Chopping (food)                                    0.7314
Frying (food)                                      0.8227
Microwave oven                                     0.4210
Blender                                            0.8496
Water tap, faucet                                  0.3972
Sink (filling or washing)                          0.5559
Bathtub (filling or washing)                       0.6050
Hair dryer                                         0.9033
Toilet flush                                       0.8418
Toothbrush                                         0.0067
Electric toothbrush                                0.3559
Vacuum cleaner                                     0.7672
Zipper (clothing)                                  0.6929
Keys jangling                                      0.3510
Coin (dropping)                                    0.6055
Scissors                                           0.5015
Electric shaver, electric razor                    0.5379
Shuffling cards                                    0.7769
Typing                                             0.6155
Typewriter                                         0.6957
Computer keyboard                                  0.6830
Writing                                            0.5994
Alarm                                              0.2611
Telephone                                          0.3301
Telephone bell ringing                             0.7189
Ringtone                                           0.5454
Telephone dialing, DTMF                            0.6698
Dial tone                                          0.5703
Busy signal                                        0.5872
Alarm clock                                        0.4519
Siren                                              0.9189
Civil defense siren                                0.9456
Buzzer                                             0.3471
Smoke detector, smoke alarm                        0.7350
Fire alarm                                         0.7390
Foghorn                                            0.4963
Whistle                                            0.4542
Steam whistle                                      0.7033
Mechanisms                                         0.2821
Ratchet, pawl                                      0.2828
Clock                                              0.4372
Tick                                               0.1815
Tick-tock                                          0.4238
Gears                                              0.3244
Pulleys                                            0.2628
Sewing machine                                     0.8633
Mechanical fan                                     0.4424
Air conditioning                                   0.3222
Cash register                                      0.8362
Printer                                            0.8518
Camera                                             0.4864
Single-lens reflex camera                          0.5962
Tools                                              0.4206
Hammer                                             0.5913
Jackhammer                                         0.5592
Sawing                                             0.5349
Filing (rasp)                                      0.6640
